Muster	Note
004-1	3
004-2	1.5
005-1	4.5
005-2	4
006-1	3.5
006-2	3
007-1	4.5
007-2	4
008-1	4
008-2	3
009-1	4
009-2	2.5
010-1	4
010-2	3.5
011-1	2.5
011-2	2
012-1	2
012-2	2
013-1	5
013-2	5
014-1	5
014-2	5
015-1	3.5
015-2	2.5
016-1	5
016-2	5
017-1	3.5
017-2	3
018-1	2
018-2	1.5
019-1	5
019-2	5
020-1	5
020-2	5
021-1	5
021-2	5
022-1	4
022-2	4
023-1	3.5
023-2	2.5
024-1	5
024-2	5
025-1	5
025-2	5
026-1	5
026-2	5
027-1	5
027-2	5
028-1	2.5
028-2	2
029-1	5
029-2	5
030-1	5
030-2	5
031-1	1
031-2	1
032-1	4.5
032-2	4.5
033-1	5
033-2	5
034-1	4.5
034-2	4.5
035-1	4
035-2	3.5
036-1	2.5
036-2	2
037-1	4
037-2	3.5
038-1	3.5
038-2	2.5
039-1	3
039-2	2
040-1	2.5
040-2	1.5
041-1	3.5
041-2	3.5
042-1	2
042-2	1.5
043-1	3
043-2	2.5
044-1	2.5
044-2	2.5
045-1	4.5
045-2	4.5
046-1	3.5
046-2	2.5
047-1	4.5
047-2	2.5
048-1	2.5
048-2	2
049-1	3
049-2	2.5
050-1	3.5
050-2	3
051-1	5
051-2	5
052-1	4.5
052-2	4.5
053-1	5
053-2	5
054-1	4.5
054-2	4.5
055-1	4.5
055-2	4
056-1	5
056-2	5
057-1	4,5
057-2	4,5
058-1	5
058-2	5
059-1	2.5
059-2	1.5
060-1	5
060-2	5
061-1	3.5
061-2	2
062-1	4.5
062-2	4.5
063-1	2
063-2	1.5
064-1	5
064-2	5
065-1	3.5
065-2	3.5
066-1	2
066-2	1
067-1	5
067-2	4
068-1	5
068-2	5
069-1	2
069-2	1
070-1	1.5
070-2	1
071-1	1.5
071-2	1
072-1	5
072-2	5
073-1	4.5
073-2	4.5
074-1	3.5
074-2	2.5
075-1	3
075-2	2.5
076-1	4
076-1	3.5
077-1	3
077-2	2.5
078-1	2
078-2	1.5
079-1	4.5
079-2	4.5
080-1	5
080-2	5
081-1	4.5
081-2	4
082-1	4
082-2	3.5
083-1	2.5
083-2	2
084-1	4.5
084-2	4
085-1	5
085-2	5
086-1	4.5
086-2	4.5
087-1	5
087-2	5
088-1	3.5
088-2	3
089-1	4.5
089-2	4.5
090-1	1.5
090-2	1
091-1	3
091-2	2.5
092-1	4
092-2	3.5
093-1	4.5
093-2	4.5
094-1	1.5
094-2	1
095-1	4.5
095-2	4.5
096-1	4
096-2	3.5
097-1	5
097-2	4.5
098-1	4.5
098-2	4.5
099-1	3.5
099-2	2.5
100-1	2.5
100-2	2
101-1	1.5
101-2	1
102-1	2.5
102-2	2
103-1	4
103-2	3.5
104-1	4.5
104-2	4.5
105-1	1.5
105-2	1
106-1	4
106-2	3.5
107-1	4
107-2	3.5
108-1	2.5
108-2	2
109-1	5
109-2	5
110-1	3.5
110-2	2.5
111-1	4.5
111-2	4.5
112-1	4
112-2	3.5
113-1	2.5
113-2	1.5
114-1	3.5
114-2	2.5
115-1	5
115-2	5
116-1	2
116-2	1.5
117-1	4.5
117-2	4.5
118-1	5
118-2	5
119-1	3.5
119-2	3
120-1	4.5
120-2	4.5
121-1	1
121-2	1
122-1	2
122-2	1
123-1	 
123-2	4
124-1	1
124-2	1
125-1	5
125-2	5
126-1	4
126-2	4
127-1	4.5
127-2	3.5
128-1	4
128-2	3.5
128-3	3
128-4	3
128-5	2.5
128-6	2
128-7	2
128-8	2
129-1	1
129-2	1
129-3	1
129-4	1
